query_idx,ef_true,RV_unw,RV_rank_5,RV_rank_10
2565,50,0.2935,0.579705,0.695152
4522,50,0.212698,0.477209,0.613346
1573,50,0.257551,0.537249,0.664254
9555,100,0.172122,0.382171,0.497279
4524,50,0.399145,0.682736,0.776088
6186,50,0.219711,0.479469,0.602134
1509,50,0.267888,0.562481,0.690659
8049,50,0.301452,0.575289,0.682388
6896,200,0.147084,0.347524,0.458586
1771,100,0.193159,0.430004,0.548026
5379,50,0.17252,0.382906,0.491982
3401,200,0.216598,0.463473,0.584222
1347,100,0.195034,0.447433,0.578644
3745,50,0.346992,0.64013,0.748656
2556,50,0.236758,0.50487,0.629122
3254,50,0.300139,0.584523,0.701034
5042,50,0.243172,0.490218,0.604389
4724,200,0.196436,0.43638,0.555398
9449,50,0.300659,0.605937,0.723996
9115,100,0.287653,0.548342,0.655956
938,100,0.247648,0.50442,0.616808
8623,50,0.280328,0.560669,0.681931
5933,50,0.335518,0.608267,0.702536
2137,50,0.237864,0.519356,0.646428
273,50,0.284546,0.563974,0.680279
7782,50,0.186021,0.42158,0.541277
503,50,0.231558,0.483096,0.61015
872,50,0.253284,0.530559,0.658556
9059,100,0.204662,0.431525,0.538446
4510,50,0.253975,0.508651,0.620989
1585,150,0.144254,0.335068,0.44659
6542,50,0.5783,0.804795,0.863153
3549,100,0.179388,0.420443,0.55227
9332,50,0.292077,0.553487,0.656269
488,50,0.256338,0.517921,0.640609
7214,350,0.186688,0.404867,0.520333
5018,150,0.272916,0.548417,0.662499
8314,50,0.429487,0.725098,0.813195
9257,200,0.20936,0.457443,0.572964
141,50,0.444498,0.725798,0.809188
4595,50,0.316916,0.608622,0.726079
5695,50,0.331286,0.615148,0.72448
4579,50,0.331136,0.630796,0.736359
7527,50,0.526256,0.795727,0.855732
9321,50,0.238211,0.491703,0.612056
239,100,0.211747,0.447204,0.566542
5485,150,0.21041,0.441784,0.559525
4188,50,0.215514,0.472433,0.599667
7689,50,0.41284,0.69496,0.775804
1027,50,0.20741,0.446458,0.569667
9496,50,0.216701,0.488393,0.625238
6090,50,0.463327,0.748239,0.826097
4702,100,0.127312,0.302021,0.406881
7879,50,0.470223,0.752622,0.82957
4760,50,0.234646,0.49427,0.624115
1146,300,0.196274,0.440836,0.5611
6960,100,0.210903,0.439213,0.548335
351,50,0.256121,0.510474,0.621198
1525,100,0.23474,0.465085,0.569681
9753,50,0.248075,0.5049,0.623277
9619,100,0.25173,0.533364,0.664305
9715,100,0.185954,0.419344,0.529421
5717,550,0.137918,0.318343,0.424531
2452,150,0.212033,0.436591,0.545922
7907,100,0.199287,0.435275,0.553298
2356,50,0.226908,0.485245,0.604349
9868,50,0.234754,0.509482,0.636973
8833,50,0.26717,0.536902,0.654977
4525,50,0.343193,0.62956,0.731861
4990,50,0.304403,0.593206,0.715091
8237,100,0.234937,0.473993,0.578147
9067,50,0.296393,0.591849,0.711893
8468,100,0.261855,0.5274,0.637326
1029,100,0.185865,0.412116,0.53006
251,50,0.157028,0.372661,0.490878
4733,50,0.194129,0.441327,0.567744
4528,50,0.307375,0.594703,0.71092
817,100,0.308057,0.58578,0.690732
3074,50,0.192003,0.410612,0.517673
5494,50,0.35531,0.629689,0.724557
102,50,0.2445,0.508366,0.627841
3267,100,0.18014,0.420443,0.549582
4610,200,0.266526,0.534321,0.638313
4540,300,0.17627,0.388968,0.495752
8958,50,0.366204,0.640648,0.738968
3111,100,0.14145,0.324923,0.433927
2860,200,0.19785,0.449646,0.582343
5053,50,0.339005,0.628162,0.735318
1616,50,0.23221,0.488378,0.609633
6331,50,0.491794,0.759383,0.833523
4979,50,0.396101,0.671822,0.771626
6202,50,0.586244,0.789479,0.841821
4511,50,0.385421,0.649561,0.736792
3969,50,0.248842,0.51858,0.645946
7737,50,0.419268,0.721501,0.820375
6520,50,0.211912,0.47733,0.606846
1147,150,0.233133,0.480138,0.594755
4533,50,0.26699,0.554891,0.685686
2053,50,0.259015,0.524527,0.646055
6722,50,0.636752,0.830539,0.866706
9187,50,0.428836,0.701302,0.784941
1853,50,0.213622,0.482335,0.609028
236,50,0.34676,0.642852,0.752418
1393,50,0.227597,0.498583,0.637213
56,50,0.229391,0.476424,0.593268
