query_idx,ef_true,RV_log,m_LID
1677,100,0.282717,15.0612
3235,50,0.301977,16.2615
1627,50,0.458226,12.7089
3227,50,0.453686,7.16301
3700,250,0.395239,10.9929
6262,50,0.584733,6.02618
6554,2000,0.252341,23.2514
9834,2000,0.256948,28.5755
7967,200,0.399818,9.46232
1643,400,0.206755,23.6347
3276,2000,0.228831,16.0208
7297,50,0.506536,8.00762
9944,1800,0.246751,20.1289
1811,300,0.274815,15.2173
6721,50,0.381375,12.3929
2597,2000,0.258375,23.0957
7806,100,0.426568,16.0224
4364,500,0.282363,22.4391
9900,300,0.27332,22.7543
8356,1100,0.273226,18.7009
7370,350,0.216949,23.8287
9155,50,0.543234,9.63475
6880,800,0.230161,31.9632
4226,700,0.282962,17.7801
7321,150,0.283409,22.2249
7386,400,0.265447,19.3592
2419,50,0.315155,15.8475
3811,550,0.203195,20.668
3058,1350,0.189723,23.853
9327,100,0.285694,19.4008
450,2000,0.213129,24.1696
7011,550,0.235659,27.3505
5100,150,0.21591,16.3843
4957,1200,0.256221,11.9318
2918,50,0.404188,12.7633
4002,50,0.457155,9.66384
3038,550,0.316395,14.6713
7778,150,0.26037,22.0444
8841,100,0.391526,15.056
8028,50,0.355373,10.4505
4052,50,0.724803,1.98806
2285,1250,0.267374,17.9844
8209,100,0.278279,22.2905
2501,100,0.253885,18.9438
1396,150,0.281818,17.6642
979,950,0.222951,17.5154
8575,100,0.267043,18.5887
6393,50,0.38861,9.73337
5924,100,0.432063,15.8307
9955,250,0.32684,22.9279
168,2000,0.230749,22.5037
5488,1200,0.236856,18.5186
9613,50,0.375672,19.704
9305,250,0.21085,28.8171
2625,50,0.29221,18.6525
4236,2000,0.185207,24.9778
9183,100,0.455577,11.0586
9650,2000,0.177418,19.1412
4076,300,0.26746,17.4552
9242,300,0.398636,9.41671
8386,50,0.253735,18.0958
3999,50,0.384139,9.87914
9412,50,0.306952,12.6501
8460,50,0.288304,17.4822
6219,50,0.311255,13.842
1350,1550,0.220782,20.9547
9381,50,0.499784,7.63037
3729,50,0.503408,7.93991
5230,50,0.5335,10.385
8142,50,0.308664,19.7119
5536,2000,0.206671,20.3421
8757,50,0.40261,13.1243
360,300,0.2262,20.5902
753,50,0.327709,14.6071
709,400,0.199479,17.0053
4460,50,0.403422,14.646
4198,1800,0.347093,22.7403
9347,250,0.269329,15.5952
8048,50,0.44253,11.2353
5243,350,0.202049,19.699
5633,150,0.284814,10.9353
1791,900,0.26788,22.3708
5074,1150,0.274651,12.7216
8262,50,0.30565,10.464
244,50,0.309846,14.461
4101,50,0.328231,13.4115
5938,50,0.418838,8.86364
6207,450,0.197799,23.8128
7466,2000,0.235741,19.1722
3784,200,0.156003,19.6429
6105,50,0.286816,13.4455
2707,50,0.477491,12.7742
3558,100,0.473242,10.3143
1416,550,0.181714,26.7832
6796,300,0.319798,10.7691
2117,50,0.416132,9.09769
9590,1450,0.181402,42.698
4984,600,0.205211,18.4593
1253,100,0.313134,16.5323
7564,50,0.421439,12.4221
577,50,0.455229,17.4954
9326,200,0.337333,17.7647
4855,100,0.306681,13.3176
9987,50,0.55694,3.92951
4499,450,0.254784,19.3962
2832,50,0.394047,9.82574
6514,50,0.427189,12.797
380,50,0.665993,4.31636
561,50,0.394975,10.7742
7316,50,0.35642,15.8019
8787,100,0.280498,19.5465
6819,50,0.396497,12.6981
4344,50,0.381861,5.30234
6749,700,0.195441,24.0859
839,1900,0.237091,18.0883
4478,50,0.310252,13.4324
175,400,0.257751,20.4065
2362,50,0.653414,5.41672
1989,50,0.475559,14.0611
2134,250,0.274071,19.8037
6799,50,0.369035,22.4452
5935,50,0.264308,15.387
8672,150,0.232089,16.0343
8795,50,0.585057,8.113
7473,1500,0.185619,34.9963
815,2000,0.22996,23.5559
5999,150,0.31597,21.9182
4602,50,0.327658,16.7425
2814,100,0.382724,10.0422
2473,50,0.398093,15.608
7464,1350,0.2415,25.8705
206,50,0.318035,16.6195
3713,2000,0.200033,26.957
8616,900,0.207012,23.1333
4892,100,0.291931,17.5559
1367,100,0.401567,17.6119
8457,1200,0.191395,21.886
4541,2000,0.228915,40.9288
4570,50,0.607655,4.80214
3753,1000,0.225633,21.9401
8962,100,0.441785,17.7956
7450,50,0.560613,5.12872
8004,100,0.227703,14.3853
6073,350,0.251357,22.9024
5219,200,0.424113,9.39102
1288,50,0.407684,8.92539
1343,100,0.268227,18.2394
9817,50,0.358355,11.1
3717,50,0.26158,13.927
6890,50,0.296789,12.2164
7200,50,0.572825,6.4292
5739,150,0.370896,11.7577
3620,50,0.482021,6.36454
7747,100,0.267914,20.6048
7703,200,0.38912,16.6346
9818,100,0.339932,13.7524
7340,2000,0.252833,19.8494
7270,750,0.274581,15.6976
948,100,0.407037,9.81835
1960,50,0.578472,3.96841
7864,2000,0.197534,21.8359
9777,50,0.354915,22.2869
6600,2000,0.247439,21.1271
7926,950,0.198302,19.7811
9835,50,0.314228,14.5809
7326,2000,0.331539,17.7169
4538,350,0.250685,17.5685
2703,600,0.196901,23.9937
1945,50,0.401674,11.6489
648,250,0.214862,19.1004
9330,1250,0.273509,15.6203
5339,500,0.250669,20.4198
7099,50,0.462302,8.40277
7375,100,0.351752,9.2142
1634,100,0.434862,9.23062
7828,50,0.3452,9.68796
2553,2000,0.246295,15.9875
2464,300,0.197193,21.5035
4414,2000,0.236253,22.7312
9086,50,0.47294,12.2959
4037,100,0.424667,16.8499
7575,2000,0.264367,25.7957
578,2000,0.211026,26.4579
1003,2000,0.194839,29.1199
9911,150,0.195378,31.6906
9037,1950,0.239135,18.8738
1508,2000,0.199255,27.4023
6139,50,0.549047,8.71728
4130,150,0.333342,17.3824
7673,50,0.485784,6.84549
4472,200,0.303204,16.4251
5134,50,0.289956,19.1459
1992,800,0.221639,28.884
9009,250,0.234723,23.7515
270,350,0.192788,30.7498
7422,450,0.269268,19.6413
5667,2000,0.227485,19.6598
7404,50,0.289537,15.4295
8690,50,0.38324,8.29433
3422,350,0.255534,47.3138
9909,100,0.279635,17.7912
9313,300,0.288293,29.186
5540,50,0.472142,9.9933
4396,50,0.404965,7.42314
9933,400,0.38424,15.9035
4909,150,0.298117,20.1909
5693,2000,0.219693,24.185
8515,2000,0.197024,32.3704
2815,50,0.436103,22.9082
6384,50,0.465144,7.66676
8047,200,0.397817,16.9301
1935,450,0.210813,23.5273
2907,50,0.421842,13.0717
7692,50,0.596377,3.7187
5431,50,0.316099,9.9921
8543,50,0.57777,11.106
4330,150,0.148549,20.9585
6259,500,0.400684,15.3228
9478,50,0.621879,10.9296
2975,50,0.376683,12.8621
4851,350,0.289483,15.6706
3819,50,0.447958,10.8717
476,250,0.22165,14.8456
8742,900,0.206425,24.5644
7678,50,0.34864,20.854
1957,150,0.316603,13.4651
4561,650,0.180672,34.3794
4312,100,0.26949,17.3703
1985,100,0.340701,10.992
6104,150,0.380531,12.4976
3249,50,0.541548,7.39896
2669,50,0.3986,7.58801
3097,50,0.4964,7.95154
7182,50,0.355036,14.2779
824,250,0.253419,22.4809
6975,100,0.333487,16.1186
9781,1850,0.233373,18.6789
7802,150,0.283799,20.8196
8631,1100,0.221026,29.2852
654,50,0.59812,7.42377
1612,50,0.363409,13.8462
3642,50,0.301777,12.2594
3612,100,0.342353,16.1161
3618,100,0.336,20.1361
3533,1050,0.195184,20.6942
2937,200,0.22923,20.1277
9612,200,0.304212,24.633
4664,2000,0.27543,20.7773
5905,900,0.256372,22.4393
9483,100,0.383839,10.6427
2581,50,0.482337,10.9578
7434,50,0.530628,8.37675
8003,150,0.348941,16.6018
1997,250,0.194551,23.7776
1456,50,0.378374,15.4767
9232,100,0.23898,19.9612
7559,2000,0.228686,19.7049
1715,1250,0.254068,19.9991
4644,2000,0.240329,17.5104
8611,250,0.316079,23.4872
7834,50,0.42758,5.72071
3739,50,0.475846,8.84902
2802,50,0.367606,13.5252
8032,50,0.393214,16.6356
9914,500,0.227765,29.4482
6415,2000,0.220258,27.4999
2412,100,0.383065,17.3985
5542,2000,0.205128,15.4682
3192,550,0.31214,18.4262
9409,50,0.533324,10.4485
82,1900,0.202683,20.4685
7146,50,0.392275,16.6262
3248,50,0.424057,16.4618
1553,2000,0.25296,22.0211
9922,2000,0.248678,16.8991
4951,250,0.352935,15.463
8535,250,0.256827,23.2505
1600,50,0.315258,18.3265
7515,300,0.298695,26.4387
2304,2000,0.19948,28.4882
6860,1000,0.244733,22.2123
5458,50,0.3305,16.8771
6597,1800,0.172954,28.321
2969,900,0.185873,20.9101
3026,50,0.280534,22.0379
7123,2000,0.195764,23.2555
4969,50,0.643491,5.83783
4020,100,0.284321,16.4631
653,50,0.343589,6.638
6636,250,0.338275,12.519
2003,50,0.513207,7.24222
4221,2000,0.202734,24.5162
8874,400,0.284976,24.0762
3803,50,0.693578,2.98502
1968,200,0.292926,13.3768
7076,100,0.23586,26.7111
9318,450,0.310106,10.371
