query_idx,ef_true,RV_log,m_LID
8554,1200,0.292909,23.3048
2611,400,0.187577,33.1864
7952,2000,0.202118,20.2444
617,150,0.225405,20.1725
3469,1200,0.25404,25.1964
9432,50,0.358303,13.3341
9859,50,0.498119,6.46495
7094,2000,0.246393,26.2525
4070,1400,0.227129,21.9884
3911,1300,0.263613,26.5397
6696,50,0.442022,9.83085
4994,650,0.255293,21.598
3303,50,0.455985,8.29216
8818,2000,0.283899,23.3279
6173,750,0.278733,15.253
6694,50,0.366493,9.37893
4403,850,0.230849,25.9066
8227,2000,0.238567,22.254
8233,250,0.227226,21.952
2862,50,0.439659,9.50311
5608,750,0.23966,27.8913
2198,1550,0.264602,11.2278
4302,100,0.213714,14.7218
6870,2000,0.188934,23.0583
1995,2000,0.217388,30.0138
8513,50,0.410683,11.65
8551,200,0.351504,15.1507
7731,50,0.700178,5.32211
8105,850,0.32512,14.0804
2009,50,0.452861,8.57751
8245,50,0.410635,7.80942
5478,500,0.243806,16.323
3887,500,0.276192,19.4678
9658,450,0.279763,21.0071
5821,50,0.454422,9.82167
6901,150,0.264212,26.6784
2713,50,0.19623,28.0366
8156,50,0.600214,7.34863
2178,850,0.194211,19.9277
9819,250,0.271595,17.0838
4261,750,0.201597,32.1071
1706,400,0.230658,13.5898
6505,200,0.291647,24.4988
8782,50,0.464283,6.65375
9337,50,0.710588,5.42419
4295,100,0.371273,13.2452
9891,100,0.291229,14.9878
7052,50,0.459302,8.99405
9053,250,0.222956,19.9379
3094,50,0.342096,16.9744
2590,300,0.195316,26.6705
2305,500,0.25168,23.9065
4804,50,0.488118,9.60812
8722,200,0.328911,19.4885
5520,250,0.239467,17.2836
4551,50,0.48728,7.44753
6229,50,0.283442,17.7774
3789,50,0.555505,10.5918
8684,1600,0.239184,22.4336
1457,1800,0.219734,29.165
3838,350,0.218097,28.108
9195,1500,0.222463,19.7083
132,100,0.305207,14.0085
1118,100,0.488688,9.04243
2235,50,0.283546,8.44586
4916,1300,0.20426,26.9173
5995,250,0.321931,18.5784
1590,900,0.234507,22.6174
1596,50,0.230292,23.7384
6548,50,0.495044,15.0456
3396,50,0.544913,9.69793
5791,50,0.492121,8.82681
5574,100,0.313241,16.5251
5137,2000,0.231081,18.4333
4967,900,0.205633,19.4753
1862,650,0.210801,21.7305
5487,2000,0.183958,33.675
9163,150,0.391505,8.50644
1097,450,0.243882,14.8328
9567,2000,0.258897,26.499
830,50,0.445126,8.80391
3986,50,0.610059,7.46374
9771,50,0.388949,10.9505
6350,650,0.233593,17.5489
8824,50,0.626605,7.94633
2286,100,0.340144,19.2864
3990,50,0.436345,10.127
1407,100,0.246333,20.8595
2078,300,0.21078,24.7961
5237,150,0.344917,17.1576
9058,350,0.288264,16.689
4200,1250,0.190017,15.9788
331,1350,0.207174,25.4959
6537,2000,0.226659,23.4131
9792,100,0.356768,16.1776
5557,50,0.615864,5.87943
5082,50,0.37956,9.70322
1200,100,0.338542,13.8977
7343,2000,0.274974,18.0365
5539,1350,0.267364,22.384
2450,1250,0.220814,28.2462
1797,50,0.480882,14.3954
3535,50,0.222869,14.2071
1869,2000,0.216025,30.2113
3609,50,0.328399,17.9148
5218,2000,0.214287,25.8014
7155,100,0.327973,9.82371
3721,150,0.383354,15.5147
6192,850,0.260272,23.0257
6034,2000,0.230209,27.9796
3731,2000,0.219421,19.8406
1921,100,0.384831,15.2564
2624,50,0.452957,9.2136
3554,50,0.291024,13.509
1108,50,0.410655,9.63247
3228,50,0.443838,20.0616
2994,50,0.312727,19.8612
987,2000,0.195898,39.3408
5988,50,0.565739,11.6944
726,50,0.574635,7.24084
6559,100,0.289184,15.954
1721,50,0.34065,8.40789
343,300,0.375672,11.2846
9212,250,0.236862,29.2102
2088,350,0.305349,15.7546
3555,250,0.236715,16.2344
5354,50,0.33111,21.2335
7060,100,0.334007,14.7507
1410,2000,0.27144,16.8309
8926,50,0.266607,16.4962
8265,100,0.295261,15.8712
2838,200,0.225194,27.3849
1443,250,0.255897,18.54
6674,1850,0.233179,18.4065
5776,200,0.267446,17.3346
5649,50,0.512541,13.3405
6671,50,0.275683,17.5982
6487,50,0.472831,13.1458
9102,350,0.231645,18.9633
7185,50,0.345913,13.7153
6462,50,0.519483,5.49962
5314,300,0.311954,15.9841
8862,50,0.531677,7.26974
2059,50,0.531706,5.81814
6093,100,0.211162,19.4136
6479,1000,0.187341,26.3349
3805,150,0.346695,15.3823
4712,350,0.259213,15.7931
