RC_bin,RV_bin,ef,actual_recall
"(4.58898,5.06613]","(0.606512,0.622614]","157","0.974"
"(4.58898,5.06613]","(0.622614,0.634976]","78","0.952"
"(4.58898,5.06613]","(0.634976,0.650626]","78","0.961"
"(4.58898,5.06613]","(0.650626,0.667093]","157","0.986667"
"(4.58898,5.06613]","(0.667093,0.684716]","78","0.96375"
"(4.58898,5.06613]","(0.684716,0.701636]","78","0.963"
"(4.58898,5.06613]","(0.701636,0.723095]","78","0.968571"
"(4.58898,5.06613]","(0.723095,0.745794]","78","0.983636"
"(4.58898,5.06613]","(0.745794,0.778149]","78","1"
"(4.58898,5.06613]","(0.778149,0.8115]","78","0.9575"
"(4.58898,5.06613]","(0.8115,0.885727]","78","0.99"
"(5.06613,5.66939]","(0.399463,0.482554]","315","0.975"
"(5.06613,5.66939]","(0.482554,0.507006]","236","0.95"
"(5.06613,5.66939]","(0.507006,0.526885]","157","0.98"
"(5.06613,5.66939]","(0.526885,0.54134]","157","0.95"
"(5.06613,5.66939]","(0.555202,0.568005]","157","0.985"
"(5.06613,5.66939]","(0.568005,0.582622]","157","0.97"
"(5.06613,5.66939]","(0.582622,0.594014]","157","0.975"
"(5.06613,5.66939]","(0.594014,0.606512]","78","0.955"
"(5.06613,5.66939]","(0.606512,0.622614]","157","0.981429"
"(5.06613,5.66939]","(0.622614,0.634976]","78","0.967778"
"(5.06613,5.66939]","(0.634976,0.650626]","78","0.964545"
"(5.06613,5.66939]","(0.650626,0.667093]","78","0.973333"
"(5.06613,5.66939]","(0.667093,0.684716]","78","0.9625"
"(5.06613,5.66939]","(0.684716,0.701636]","78","0.978"
"(5.06613,5.66939]","(0.701636,0.723095]","78","0.983571"
"(5.06613,5.66939]","(0.723095,0.745794]","78","0.9925"
"(5.06613,5.66939]","(0.745794,0.778149]","78","0.977143"
"(5.06613,5.66939]","(0.778149,0.8115]","78","0.98875"
"(5.06613,5.66939]","(0.8115,0.885727]","78","0.996"
"(5.66939,6.48303]","(0.482554,0.507006]","315","0.96"
"(5.66939,6.48303]","(0.507006,0.526885]","157","0.97"
"(5.66939,6.48303]","(0.526885,0.54134]","236","0.95"
