query_idx,ef_true,recall_at_ef_true,RV_gamma_0.1,RV_gamma_0.5,RV_gamma_1.0,RV_gamma_2.0,RV_gamma_5.0,RV_gamma_10.0,RV_gamma_20.0
8730,100,1.0,0.2,0.2,0.3,0.3,0.3,0.4,0.6
7047,150,1.0,0.1,0.2,0.2,0.2,0.3,0.4,0.7
4980,550,1.0,0.2,0.2,0.2,0.2,0.3,0.5,0.7
8157,100,1.0,0.2,0.2,0.2,0.2,0.4,0.7,0.8
8993,1650,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.1
472,3650,1.0,0.1,0.1,0.1,0.2,0.2,0.4,0.1
1465,250,1.0,0.1,0.1,0.2,0.2,0.3,0.4,0.7
838,50,1.0,0.5,0.5,0.5,0.5,0.6,0.7,0.8
4018,250,1.0,0.2,0.2,0.2,0.3,0.3,0.5,0.7
3645,750,1.0,0.1,0.1,0.1,0.2,0.2,0.3,0.5
9604,50,1.0,0.4,0.5,0.5,0.5,0.6,0.7,0.8
7896,50,1.0,0.2,0.3,0.3,0.3,0.5,0.7,0.8
9714,50,1.0,0.3,0.4,0.4,0.5,0.7,0.8,0.9
7526,50,1.0,0.3,0.3,0.3,0.4,0.5,0.7,0.9
700,1000,1.0,0.2,0.2,0.2,0.2,0.3,0.5,0.7
9694,50,1.0,0.3,0.3,0.3,0.4,0.7,0.9,0.9
6414,1950,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.2
5827,50,1.0,0.3,0.3,0.3,0.4,0.5,0.7,0.9
6339,500,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.5
8715,5000,0.9,0.1,0.1,0.2,0.2,0.2,0.4,0.6
1065,50,1.0,0.3,0.4,0.4,0.4,0.5,0.6,0.7
475,450,1.0,0.1,0.1,0.1,0.2,0.3,0.5,0.2
9,1250,1.0,0.1,0.1,0.2,0.2,0.3,0.5,0.8
4566,650,1.0,0.2,0.2,0.2,0.3,0.4,0.6,0.5
582,50,1.0,0.3,0.4,0.4,0.5,0.6,0.8,0.8
3600,600,1.0,0.2,0.2,0.2,0.2,0.3,0.5,0.6
5969,50,1.0,0.4,0.4,0.5,0.5,0.7,0.9,0.9
85,50,1.0,0.3,0.3,0.4,0.4,0.6,0.7,0.8
585,50,1.0,0.2,0.2,0.3,0.3,0.3,0.4,0.6
1846,650,1.0,0.1,0.1,0.1,0.2,0.2,0.4,0.6
6827,100,1.0,0.3,0.3,0.3,0.4,0.5,0.7,0.8
4455,2850,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.2
2008,50,1.0,0.4,0.4,0.5,0.5,0.7,0.8,0.9
9725,2050,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.5
6616,1300,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.1
6546,50,1.0,0.3,0.4,0.4,0.4,0.6,0.8,0.8
5350,50,1.0,0.4,0.4,0.4,0.5,0.7,0.9,0.9
9833,50,1.0,0.2,0.2,0.3,0.3,0.5,0.8,0.9
9490,50,1.0,0.2,0.2,0.2,0.3,0.4,0.8,0.9
325,5000,0.9,0.1,0.1,0.1,0.1,0.2,0.3,0.1
2621,100,1.0,0.2,0.3,0.3,0.3,0.4,0.6,0.7
8725,150,1.0,0.1,0.1,0.2,0.2,0.3,0.4,0.7
8011,50,1.0,0.4,0.4,0.5,0.5,0.6,0.7,0.8
3573,50,1.0,0.2,0.3,0.3,0.3,0.6,0.9,0.9
9099,100,1.0,0.2,0.2,0.2,0.2,0.3,0.5,0.8
4081,50,1.0,0.5,0.5,0.6,0.6,0.7,0.8,0.9
1296,200,1.0,0.2,0.2,0.2,0.3,0.4,0.6,0.7
8977,450,1.0,0.2,0.2,0.2,0.3,0.4,0.5,0.6
6549,1050,1.0,0.2,0.2,0.2,0.2,0.3,0.5,0.8
8501,300,1.0,0.1,0.1,0.1,0.2,0.2,0.3,0.2
38,50,1.0,0.2,0.3,0.3,0.3,0.4,0.6,0.8
4598,50,1.0,0.3,0.3,0.4,0.4,0.6,0.7,0.9
2249,5000,0.9,0.1,0.1,0.1,0.1,0.2,0.3,0.5
312,1450,1.0,0.1,0.1,0.2,0.2,0.3,0.5,0.7
5085,50,1.0,0.4,0.4,0.4,0.5,0.6,0.7,0.9
107,50,1.0,0.2,0.2,0.3,0.3,0.4,0.6,0.8
22,1700,1.0,0.1,0.1,0.1,0.1,0.2,0.4,0.1
1349,50,1.0,0.2,0.3,0.3,0.3,0.5,0.7,0.8
2461,50,1.0,0.3,0.3,0.3,0.4,0.5,0.7,0.8
6617,100,1.0,0.2,0.2,0.2,0.3,0.4,0.5,0.7
2736,50,1.0,0.2,0.2,0.3,0.4,0.7,0.9,0.9
724,500,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.7
200,450,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.2
151,250,1.0,0.3,0.3,0.3,0.3,0.4,0.6,0.7
7993,50,1.0,0.5,0.5,0.6,0.6,0.7,0.8,0.9
3920,900,1.0,0.2,0.2,0.2,0.3,0.4,0.5,0.7
9558,50,1.0,0.3,0.3,0.3,0.4,0.5,0.7,0.8
9632,250,1.0,0.2,0.2,0.2,0.3,0.3,0.5,0.7
9184,50,1.0,0.2,0.2,0.2,0.3,0.4,0.7,0.8
2730,50,1.0,0.4,0.4,0.4,0.5,0.6,0.7,0.8
1700,1250,1.0,0.1,0.2,0.2,0.2,0.3,0.5,0.3
2520,50,1.0,0.3,0.3,0.3,0.4,0.6,0.8,0.9
8442,100,1.0,0.3,0.3,0.3,0.3,0.4,0.5,0.7
5625,50,1.0,0.4,0.5,0.5,0.6,0.8,0.9,0.9
5371,100,1.0,0.2,0.3,0.3,0.3,0.5,0.7,0.8
8800,250,1.0,0.2,0.2,0.2,0.2,0.3,0.5,0.6
8477,50,1.0,0.2,0.2,0.2,0.3,0.4,0.5,0.7
5125,2100,1.0,0.1,0.1,0.1,0.1,0.2,0.4,0.1
8298,200,1.0,0.1,0.1,0.2,0.2,0.3,0.5,0.7
5205,50,1.0,0.2,0.2,0.3,0.3,0.4,0.6,0.8
198,1400,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.0
6865,1000,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.1
9032,300,1.0,0.3,0.3,0.3,0.4,0.5,0.7,0.8
5403,50,1.0,0.3,0.4,0.4,0.5,0.7,0.9,0.9
4372,750,1.0,0.1,0.1,0.1,0.1,0.2,0.3,0.1
4183,50,1.0,0.3,0.3,0.3,0.3,0.5,0.7,0.9
2014,50,1.0,0.3,0.4,0.4,0.5,0.8,0.9,0.9
4143,450,1.0,0.1,0.1,0.1,0.2,0.2,0.4,0.1
9680,50,1.0,0.3,0.3,0.3,0.3,0.5,0.7,0.9
1709,50,1.0,0.2,0.2,0.2,0.3,0.6,0.9,0.9
7739,50,1.0,0.2,0.2,0.3,0.4,0.6,0.9,0.9
9773,100,1.0,0.3,0.3,0.3,0.3,0.4,0.6,0.8
3309,200,1.0,0.2,0.2,0.2,0.2,0.4,0.6,0.6
7122,50,1.0,0.4,0.4,0.5,0.5,0.6,0.8,0.9
7045,600,1.0,0.2,0.2,0.2,0.3,0.4,0.5,0.8
602,50,1.0,0.2,0.2,0.2,0.3,0.4,0.6,0.8
6949,200,1.0,0.2,0.2,0.2,0.2,0.3,0.4,0.6
8212,100,1.0,0.3,0.3,0.3,0.4,0.5,0.6,0.8
5748,150,1.0,0.2,0.2,0.2,0.2,0.3,0.5,0.8
8621,50,1.0,0.6,0.6,0.6,0.7,0.8,0.8,0.9
1150,50,1.0,0.4,0.4,0.4,0.5,0.7,0.8,0.9
5576,50,1.0,0.4,0.5,0.5,0.6,0.8,0.9,0.9
3443,100,1.0,0.2,0.2,0.3,0.3,0.4,0.6,0.7
9329,300,1.0,0.1,0.1,0.1,0.1,0.2,0.4,0.7
5668,50,1.0,0.4,0.4,0.4,0.5,0.6,0.8,0.9
3502,2300,1.0,0.2,0.2,0.2,0.2,0.4,0.6,0.8
5523,50,1.0,0.3,0.3,0.3,0.4,0.6,0.8,0.9
680,1200,1.0,0.1,0.1,0.1,0.2,0.3,0.4,0.0
1077,50,1.0,0.3,0.3,0.3,0.4,0.5,0.6,0.8
