query_idx,ef_true,RV_rank,m_LID
4540,50,0.619126,10.5545
8958,300,0.362733,18.7389
3111,1500,0.313321,28.7973
2860,2000,0.32795,23.184
5053,50,0.717448,14.2738
1616,50,0.686103,12.0568
6331,50,0.420589,14.4711
4979,750,0.460637,11.2979
6202,50,0.77946,13.4194
4511,400,0.360997,23.1842
3969,450,0.468805,17.0127
7737,50,0.722879,12.4976
6520,50,0.802656,6.32246
1147,700,0.388174,22.4038
4533,100,0.440497,9.45942
2053,50,0.719036,12.305
6722,50,0.62016,8.15818
9187,50,0.835677,7.87695
1853,50,0.713311,10.1601
236,100,0.424853,15.9212
1393,100,0.673423,15.323
56,200,0.439943,18.5208
