RC_bin,RV_bin,ef,actual_recall
"(6.41972,6.94085]","(0.470667,0.487386]","236","0.953333"
"(6.41972,6.94085]","(0.487386,0.501052]","236","0.962"
"(6.41972,6.94085]","(0.501052,0.517294]","236","0.975"
"(6.41972,6.94085]","(0.517294,0.534766]","236","0.954"
"(6.41972,6.94085]","(0.534766,0.550466]","236","0.9825"
"(6.41972,6.94085]","(0.550466,0.565932]","236","0.975"
"(6.41972,6.94085]","(0.565932,0.581181]","157","0.962222"
"(6.41972,6.94085]","(0.581181,0.598669]","236","0.976"
"(6.41972,6.94085]","(0.598669,0.617979]","157","0.969167"
"(6.41972,6.94085]","(0.617979,0.634402]","157","0.953333"
"(6.41972,6.94085]","(0.634402,0.663608]","157","0.971111"
"(6.41972,6.94085]","(0.663608,0.683543]","78","0.97"
"(6.41972,6.94085]","(0.683543,0.714231]","78","0.965"
"(6.41972,6.94085]","(0.714231,0.748711]","78","0.974286"
"(6.41972,6.94085]","(0.748711,0.794228]","78","0.99"
"(6.41972,6.94085]","(0.794228,0.892743]","78","1"
"(6.94085,7.60711]","(0.334409,0.410039]","315","0.96"
"(6.94085,7.60711]","(0.435926,0.454622]","315","0.952"
"(6.94085,7.60711]","(0.454622,0.470667]","236","0.96"
"(6.94085,7.60711]","(0.487386,0.501052]","236","0.962"
"(6.94085,7.60711]","(0.501052,0.517294]","315","0.962"
"(6.94085,7.60711]","(0.517294,0.534766]","236","0.98"
"(6.94085,7.60711]","(0.534766,0.550466]","157","0.952"
"(6.94085,7.60711]","(0.550466,0.565932]","157","0.96"
"(6.94085,7.60711]","(0.565932,0.581181]","236","0.9775"
"(6.94085,7.60711]","(0.581181,0.598669]","157","0.9725"
"(6.94085,7.60711]","(0.598669,0.617979]","157","0.978333"
"(6.94085,7.60711]","(0.617979,0.634402]","157","0.974286"
"(6.94085,7.60711]","(0.634402,0.663608]","78","0.95"
"(6.94085,7.60711]","(0.663608,0.683543]","157","0.981111"
"(6.94085,7.60711]","(0.683543,0.714231]","157","0.977143"
"(6.94085,7.60711]","(0.714231,0.748711]","78","0.964286"
"(6.94085,7.60711]","(0.748711,0.794228]","78","0.974"
