query_id,score,recall
906,60.7165,0.9
907,62.7873,0.9
908,62.2689,0.6
909,63.7906,0.7
910,79.3694,1
911,67.8812,0.6
912,54.0285,0.5
913,71.5649,0.8
914,59.5509,0.6
915,65.7496,0.9
916,72.7538,1
917,79.8631,1
918,62.1335,0.9
919,69.2601,1
920,62.7357,1
921,60.062,1
922,77.9914,1
923,57.1162,0.5
924,76.2257,1
925,81.0451,1
926,83.5239,0.9
927,73.4143,1
928,74.2756,1
929,70.5845,1
930,74.277,0.8
931,83.6355,1
932,74.6879,1
933,74.3781,0.9
934,62.5103,0.3
935,78.6991,1
936,74.4857,1
937,50.8672,0.6
938,64.8432,0.6
939,77.7086,0.9
940,61.1129,0.8
941,77.2339,1
942,81.5224,1
943,72.7821,0.9
944,70.8332,0.9
945,85.8353,1
946,80.5149,1
947,68.8359,1
948,58.4174,0.7
949,61.6392,0.5
950,81.5943,1
951,60.1067,0.9
952,74.8357,1
953,60.5882,0.9
954,77.426,1
955,68.1417,0.9
956,64.6597,0.9
957,69.5705,0.9
958,57.4375,1
959,70.731,1
960,75.8974,0.9
961,73.2491,1
962,64.4834,1
963,68.9891,1
964,66.6096,1
965,65.7638,1
966,80.3822,1
967,61.6477,0.9
968,65.2099,1
969,72.8747,1
970,62.847,1
971,81.7142,1
972,71.0686,0.9
973,79.938,1
974,81.3672,1
975,69.0696,1
976,69.622,1
977,56.945,0.5
978,80.9834,1
979,77.9408,1
980,64.9054,0.9
981,62.9002,0.8
982,68.1507,1
983,61.4452,0.9
984,64.1929,0.8
985,66.8232,1
986,77.3193,0.9
987,81.79,1
988,81.4388,1
989,54.3266,1
990,77.052,0.9
991,55.8258,0.6
992,82.4046,1
993,61.5776,0.7
994,75.8767,1
995,74.9075,1
996,64.9816,0.9
997,84.3855,1
998,72.1248,1
999,62.0266,0.5
1000,60.2367,0.7
1001,72.5963,1
1002,70.7309,0.9
1003,82.9264,1
1004,56.8014,1
1005,61.1097,0.9
1006,77.9774,0.8
1007,83.6644,1
1008,77.1685,1
1009,84.0947,1
