query_idx,ef_true,MR_gauss_5,MR_log
6487,50,0.606727,0.472831
9102,350,0.241276,0.228834
7185,50,0.408944,0.345913
6462,50,0.517137,0.519483
5314,300,0.313405,0.311954
8862,50,0.650523,0.531677
2059,50,0.604665,0.531706
6093,100,0.332349,0.211162
6479,1000,0.223021,0.187341
3805,150,0.363002,0.346695
4712,350,0.332335,0.259213
1677,100,0.41718,0.282717
3235,50,0.43933,0.301978
1627,50,0.526991,0.458226
3227,50,0.530439,0.453686
3700,250,0.475379,0.395239
6262,50,0.490174,0.584733
6554,5000,0.24485,0.252341
9834,4250,0.299061,0.256948
7967,200,0.500443,0.399817
1643,400,0.276312,0.206755
3276,2850,0.262994,0.228831
7297,50,0.533746,0.506535
9944,1800,0.279299,0.246751
1811,300,0.199001,0.274815
6721,50,0.503291,0.381375
2597,2150,0.209068,0.258375
7806,100,0.481802,0.426568
4364,500,0.363202,0.282363
9900,300,0.302401,0.27332
8356,1100,0.337109,0.273227
7370,350,0.257565,0.216949
9155,50,0.695853,0.543234
6880,800,0.156949,0.230161
4226,700,0.265031,0.282962
7321,150,0.327713,0.283409
7386,400,0.283331,0.265447
2419,50,0.546356,0.315155
3811,550,0.23843,0.203195
3058,1350,0.180372,0.189723
9327,100,0.41848,0.285693
450,5000,0.218949,0.213129
7011,550,0.332878,0.235658
5100,150,0.24081,0.21591
4957,1200,0.202575,0.256221
2918,50,0.495208,0.404188
4002,50,0.453947,0.457155
3038,550,0.355521,0.316395
7778,150,0.216667,0.26037
8841,100,0.510127,0.391526
8028,50,0.443486,0.355373
4052,50,0.760496,0.724803
2285,1250,0.369347,0.267374
8209,100,0.366792,0.278279
2501,100,0.300994,0.253885
1396,150,0.351308,0.281818
979,950,0.26644,0.222951
8575,100,0.310455,0.267043
6393,50,0.503453,0.38861
5924,100,0.480767,0.432063
9955,250,0.325618,0.32684
168,2650,0.190353,0.230749
5488,1200,0.218,0.236856
9613,50,0.640738,0.375672
9305,250,0.318047,0.21085
2625,50,0.376424,0.29221
4236,3150,0.199655,0.185207
9183,100,0.544683,0.455577
9650,3600,0.150254,0.177418
4076,300,0.297262,0.26746
9242,300,0.456576,0.398636
8386,50,0.325412,0.253735
3999,50,0.563793,0.384139
9412,50,0.37038,0.306952
8460,50,0.349793,0.288303
6219,50,0.420889,0.311256
1350,1550,0.177095,0.220782
9381,50,0.567809,0.499784
3729,50,0.623926,0.503408
5230,50,0.719297,0.5335
8142,50,0.520617,0.308664
5536,2450,0.177379,0.206671
8757,50,0.412128,0.402611
360,300,0.301447,0.2262
753,50,0.356708,0.327709
709,400,0.241919,0.199479
4460,50,0.587443,0.403422
4198,1800,0.442309,0.347094
9347,250,0.338188,0.269329
8048,50,0.503564,0.44253
5243,350,0.28092,0.202049
5633,150,0.301357,0.284814
1791,900,0.202577,0.26788
5074,1150,0.305215,0.274651
8262,50,0.335837,0.30565
244,50,0.374724,0.309846
4101,50,0.479697,0.328231
5938,50,0.586266,0.418838
6207,450,0.184086,0.197799
7466,5000,0.187299,0.235741
3784,200,0.245273,0.156003
6105,50,0.570896,0.286816
2707,50,0.465412,0.477491
3558,100,0.530259,0.473242
1416,550,0.176949,0.181715
6796,300,0.378252,0.319799
2117,50,0.416996,0.416132
9590,1450,0.176941,0.181402
4984,600,0.294856,0.205211
1253,100,0.489794,0.313134
7564,50,0.589463,0.421439
577,50,0.674777,0.455229
9326,200,0.38862,0.337333
4855,100,0.488446,0.306681
9987,50,0.637749,0.556941
4499,450,0.286921,0.254784
2832,50,0.401599,0.394047
6514,50,0.615246,0.427189
380,50,0.77076,0.665994
561,50,0.475102,0.394975
7316,50,0.444575,0.35642
8787,100,0.373235,0.280498
6819,50,0.435238,0.396497
4344,50,0.390721,0.381861
6749,700,0.194181,0.195442
839,1900,0.289061,0.237091
4478,50,0.457778,0.310252
175,400,0.33232,0.257751
2362,50,0.730931,0.653414
1989,50,0.551852,0.475559
2134,250,0.276038,0.274071
6799,50,0.448499,0.369035
5935,50,0.328267,0.264308
8672,150,0.213462,0.232089
8795,50,0.675879,0.585056
7473,1500,0.187172,0.185619
815,2200,0.211495,0.22996
5999,150,0.392873,0.31597
4602,50,0.451453,0.327658
2814,100,0.37241,0.382725
2473,50,0.464074,0.398093
7464,1350,0.20375,0.241501
206,50,0.40788,0.318035
3713,2250,0.273226,0.200033
8616,900,0.224673,0.207011
4892,100,0.352821,0.291931
1367,100,0.492676,0.401567
8457,1200,0.211964,0.191395
4541,4800,0.190271,0.228915
4570,50,0.74229,0.607655
