query_id,score,recall
803,49.8075,0.08
804,64.8846,0.78
805,60.6703,0.9
806,75.5208,0.92
807,59.8852,0.3
808,76.4411,0.44
809,32.4227,0.18
810,49.3939,0.48
811,52.8346,0.32
812,66.212,0.22
813,57.8576,0.48
814,58.8836,0.74
815,43.6808,0.3
816,60.8899,0.56
817,53.653,0.12
818,50.9543,0.06
819,51.7556,0.36
820,52.1063,0.9
821,78.6185,0.92
822,54.6015,0.62
823,74.1999,0.9
824,48.2622,0.16
825,60.5481,0.26
826,67.0089,0.94
827,84.1858,0.98
828,50.1926,0.24
829,78.734,0.96
830,73.808,0.9
831,44.4909,0.24
832,71.2903,0.54
833,47.2094,0.22
834,60.2833,0.7
835,57.6183,0.3
836,78.4525,0.78
837,74.7787,0.88
838,79.7197,0.96
839,61.9404,0.5
840,51.4072,0
841,80.6899,1
842,54.1051,0.66
843,67.7597,0.88
844,87.9365,1
845,69.836,0.84
846,72.5449,0.7
847,83.6336,0.66
848,73.8738,0.94
849,62.5711,0.18
850,41.3797,0
851,66.7508,0
852,70.4114,0.96
853,71.1548,0.52
854,59.8484,0.7
855,40.2405,0.58
856,52.8154,0.74
857,43.8014,0.5
858,51.6284,0.66
859,57.1881,0.62
860,43.1129,0.28
861,56.5875,0.8
862,62.8779,0.6
863,50.9177,0.6
864,84.5126,1
865,50.4695,0.02
866,47.4,0.8
867,62.6279,0.5
868,81.791,0.86
869,62.6301,0.22
870,63.781,0.4
871,70.0537,0.68
872,59.2511,0.78
873,66.496,0.8
874,47.0916,0.46
875,72.007,0.92
876,62.0943,0.8
877,52.1581,0.24
878,57.0083,0.56
879,49.8546,0.3
880,61.7233,0.36
881,49.9426,0.42
882,69.4197,0.82
883,51.2786,0.64
884,72.0127,1
885,59.2775,0.4
886,35.7405,0.16
887,64.0869,0.8
888,81.433,1
889,62.4859,0.84
890,69.3213,0.9
891,83.0058,1
892,66.4762,0.54
893,82.2921,0.96
894,78.6615,0.98
895,55.9742,0.68
896,82.4658,0.94
897,41.4115,0.1
898,82.7497,0.96
899,64.0898,0.74
900,51.1145,0.56
901,44.5401,0.06
902,70.9564,0.88
903,49.3594,0.34
904,82.433,0.94
