query_idx,ef_true,MR_raw_gauss,MR_univ_gauss
9933,400,0.441347,0.455555
4909,150,0.369725,0.41381
5693,5000,0.259764,0.290617
8515,3150,0.266073,0.326107
2815,50,0.555284,0.485659
6384,50,0.500549,0.546274
8047,200,0.455085,0.444078
1935,450,0.241509,0.246484
2907,50,0.56965,0.605211
7692,50,0.698331,0.613831
5431,50,0.316334,0.301454
8543,50,0.617728,0.618695
4330,150,0.236005,0.1715
6259,500,0.44176,0.435229
9478,50,0.732687,0.748237
2975,50,0.56981,0.416613
4851,350,0.296579,0.330994
3819,50,0.43426,0.562243
476,250,0.226769,0.247375
8742,900,0.278304,0.31994
7678,50,0.403113,0.405969
1957,150,0.504541,0.291344
4561,650,0.236159,0.290908
4312,100,0.347652,0.302133
1985,100,0.477464,0.33731
6104,150,0.478769,0.537419
3249,50,0.692782,0.489012
2669,50,0.424168,0.513682
3097,50,0.716292,0.490257
7182,50,0.469561,0.529846
824,250,0.273216,0.304132
6975,100,0.423576,0.401571
9781,1850,0.266502,0.304527
7802,150,0.364169,0.354106
8631,1100,0.216915,0.353119
654,50,0.590601,0.534131
1612,50,0.540478,0.307151
3642,50,0.473176,0.360175
3612,100,0.484704,0.321036
3618,100,0.462677,0.429251
3533,1050,0.200417,0.286377
2937,200,0.258178,0.252812
9612,200,0.305268,0.444485
4664,3550,0.209784,0.412616
5905,900,0.263195,0.305052
9483,100,0.33695,0.554536
2581,50,0.498811,0.658439
7434,50,0.587231,0.621518
8003,150,0.440614,0.428181
1997,250,0.227176,0.333685
1456,50,0.494069,0.504405
9232,100,0.36748,0.258172
7559,5000,0.212249,0.320075
1715,1250,0.223954,0.281514
4644,2500,0.200675,0.320513
8611,250,0.321182,0.397069
7834,50,0.476491,0.373765
3739,50,0.642875,0.504053
2802,50,0.566399,0.355672
8032,50,0.549082,0.464006
9914,500,0.175283,0.372798
6415,3100,0.282794,0.364337
2412,100,0.536085,0.349678
5542,2600,0.183889,0.188056
3192,550,0.336009,0.380025
9409,50,0.661871,0.688388
82,1900,0.162525,0.297619
7146,50,0.506884,0.498827
3248,50,0.456593,0.549823
1553,5000,0.257588,0.309858
9922,2300,0.182561,0.340121
4951,250,0.40887,0.391935
8535,250,0.291446,0.388479
1600,50,0.422629,0.503496
7515,300,0.353609,0.421933
2304,5000,0.178844,0.244058
6860,1000,0.262511,0.296568
5458,50,0.451037,0.3681
6597,1800,0.130718,0.260407
2969,900,0.227914,0.27787
3026,50,0.44325,0.406981
7123,2000,0.162363,0.313699
4969,50,0.758808,0.663391
4020,100,0.312591,0.355377
653,50,0.431175,0.328911
6636,250,0.466677,0.308873
2003,50,0.523066,0.521061
4221,3400,0.229302,0.244789
